file,species,angular_second_moment,contrast,correlation,variance,idm,sum_average,sum_variance,sum_entropy,entropy,difference_variance,difference_entropy,information_measure_of_correlation_1,information_measure_of_correlation_2
BBTS1 (107),Buff,6.482892765,1.25654765,0.805917813,16.76174794,11.94810199,17.52457191,6.793884172,11.53381548,7.021726612,9.489086512,-1.6170194,-8.973834685,17.24592607
BBTS1 (108),Buff,5.788614434,1.45454002,0.907426334,16.73592684,12.17814975,17.49725821,6.621264445,12.34219653,7.633447091,8.80787574,-1.048921728,-8.498698395,17.36819802
BBTS1 (109),Buff,5.114194556,1.663238349,1.148841749,17.64484158,10.91755556,18.44423439,7.417241446,12.68173818,7.963512955,8.11207215,-0.497463396,-7.455969667,16.66557329
BBTS1 (112),Buff,5.544621805,1.442545773,0.992125071,17.11333603,11.59317971,17.88986104,6.986795479,12.27080836,7.565545427,8.804295943,-1.071871479,-8.566332549,17.37374073
BBTS1 (113),Buff,5.657836624,1.430586449,0.960328971,17.02114312,11.68272619,17.79448892,6.911323358,12.19331876,7.510750062,8.785065623,-1.072391624,-8.361333976,17.14296712
BBTS1 (117),Buff,5.349448082,1.594272406,1.094365016,17.65456265,10.83825539,18.45384935,7.554005839,12.03410717,7.55182631,8.252610718,-0.635331099,-7.125170657,15.99949097
BBTS1 (118),Buff,5.730014271,1.49639377,1.032310391,17.79264749,10.62463543,18.59845383,7.810960216,11.46863766,7.169588741,8.640423272,-0.934272641,-7.257600802,15.80353274
BBTS1 (119),Buff,5.880852271,1.366544702,0.965236563,17.43431723,11.0733809,18.2252479,7.452344448,11.4870632,7.088320569,9.116045756,-1.305854477,-8.261042042,16.6798154
BBTS1 (121),Buff,6.209553178,1.634240289,0.840098798,16.7487672,11.93623943,17.51088803,6.744914558,11.64898005,7.388597717,8.183547231,-0.557560351,-6.01622168,14.68088833
BBTS1 (122),Buff,6.315737932,1.474337707,0.834402546,16.83624759,11.81563454,17.60197817,6.846516937,11.57358268,7.216426377,8.693469892,-0.980273569,-7.122935709,15.71154503
BBTS1 (123),Buff,6.731088321,1.428948933,0.772852776,16.7607102,11.89047462,17.52342549,6.841628645,11.23136217,7.000818209,8.878345883,-1.119412741,-7.061240047,15.45963198
BBTS1 (124),Buff,6.402751005,1.461532458,0.809507753,16.69966439,12.04246601,17.45952023,6.719576926,11.5759251,7.211070446,8.704524437,-0.994972078,-7.234320344,15.81853594
BBTS1 (125),Buff,6.736444493,1.52037062,0.706207518,16.01191679,13.15672141,16.74334296,6.06347249,11.7280011,7.352879113,8.561854153,-0.85927761,-6.940370258,15.64323367
BBTS1 (129),Buff,5.032853911,1.706822748,0.960660073,15.95228107,13.61196927,16.68128851,5.729378479,13.43160437,8.416231893,7.912646705,-0.343627435,-7.960331223,17.5055166
BBTS1 (13),Buff,6.529807859,1.346052434,0.93738441,18.18287564,10.06688237,19.00408545,8.369410589,10.71502031,6.646014657,9.266784177,-1.414838514,-7.408583145,15.47988029
BBTS1 (132),Buff,5.27283808,1.499820144,1.076414176,17.35089617,11.31850122,18.13807563,7.161020497,12.55911409,7.770918148,8.599192651,-0.904288692,-8.425116773,17.41945992
BBTS1 (133),Buff,5.479545757,1.249586253,0.971346153,16.78462068,12.24648557,17.54817762,6.580006923,12.90722679,7.751396051,9.501188306,-1.636604019,-11.01880577,19.48815213
BBTS1 (137),Buff,6.602276687,1.13499483,0.812410915,16.98549718,11.66752527,17.75759685,7.035470073,11.4284953,6.88413768,10.1010102,-2.066066486,-10.34801287,18.22464151
BBTS1 (139),Buff,6.518741133,1.397579964,0.783451471,16.57485024,12.26807404,17.3293215,6.580713058,11.71869541,7.246466686,9.007896186,-1.214949825,-8.037555644,16.61957897
BBTS1 (14),Buff,5.889025083,1.485501551,1.016223101,17.92164003,10.39711612,18.73305856,7.985947462,11.23140503,7.02050334,8.674577839,-0.971357933,-6.887520768,15.30167641
BBTS1 (141),Buff,6.096010749,1.509020516,0.853368933,16.70753282,12.0257134,17.46792518,6.689681676,11.75902,7.333594807,8.473239767,-0.832688204,-6.996860997,15.68521224
BBTS1 (142),Buff,5.457789946,1.570780599,1.060680865,17.569234,10.91272377,18.36536211,7.500403162,11.87950081,7.451690313,8.424242816,-0.752375006,-7.181569561,15.97222284
BBTS1 (143),Buff,6.56657351,1.658244306,0.767951499,16.49894353,12.25037071,17.25044764,6.552795613,11.41367163,7.275472833,8.085599421,-0.48728137,-5.409671218,13.88472796
BBTS1 (144),Buff,6.63572555,1.61209886,0.769423854,16.60462078,12.10199034,17.36141804,6.66985959,11.33152971,7.202771641,8.272102308,-0.62541517,-5.742890132,14.21599843
BBTS1 (145),Buff,7.384710083,1.548165762,0.667117384,16.35461093,12.45207692,17.10046564,6.497020605,11.02589885,6.99974454,8.601341495,-0.855139639,-5.775552299,14.08370963
BBTS1 (146),Buff,6.63661798,1.623514928,0.764103107,16.54333689,12.22802214,17.29721862,6.586810005,11.47726875,7.290516238,8.268397153,-0.612370821,-5.954821555,14.52986492
BBTS1 (151),Buff,9.145888405,1.187112179,0.719290283,18.98888445,9.324488987,19.84440023,9.437770248,9.930883857,6.125147881,10.13344181,-2.038444134,-8.168863328,15.67124132
BBTS1 (152),Buff,7.694817545,1.401549588,0.83051323,18.6573703,9.61004619,19.49840939,8.954564245,10.38398918,6.521090023,9.143366503,-1.294013865,-6.652489075,14.61032732
BBTS1 (154),Buff,5.48594631,1.506556475,1.080833044,17.77174035,10.71353299,18.57846864,7.643004253,12.19817601,7.560042347,8.658834341,-0.95003475,-8.160259671,16.99637606
BBTS1 (155),Buff,5.39465757,1.534735776,1.048117092,17.34253944,11.29260927,18.12954347,7.215962852,12.21728685,7.605695664,8.521090741,-0.834663811,-7.799603694,16.7004958
BBTS1 (158),Buff,4.197849859,1.70695856,1.138563093,15.686278,14.69029263,16.40552493,5.370154295,14.47204679,8.972321592,7.906531632,-0.341550906,-9.480692333,19.24672361
BBTS1 (159),Buff,3.6581303,1.822745138,1.398156382,16.077199,14.63521195,16.81301209,5.589417415,15.38420975,9.555563239,7.687554005,-0.128917559,-10.13261366,20.15859291
BBTS1 (16),Buff,6.336602988,1.542954415,0.828711073,16.81639955,11.79202206,17.58130607,6.84894533,11.43961413,7.198114537,8.477568065,-0.799614926,-6.357209988,14.89904643
BBTS1 (173),Buff,5.453811015,1.688584973,1.101614411,17.90830219,10.48432835,18.71880069,7.846412679,11.82710757,7.508798876,7.974101044,-0.408844369,-6.277580024,15.07063255
BBTS1 (174),Buff,5.443440454,1.562922839,1.044577965,17.41232963,11.08360492,18.20219871,7.344186264,11.87229105,7.434161875,8.358280278,-0.726691198,-7.038369043,15.81291365
BBTS1 (175),Buff,6.762932293,1.388569724,0.749083386,16.52718192,12.31735212,17.28025768,6.571077167,11.53324652,7.136126643,9.042397699,-1.245028804,-7.867769992,16.36248661
BBTS1 (179),Buff,5.731129655,1.547917417,0.956216125,17.12445191,11.4365692,17.90208685,7.10831547,11.64386191,7.300874148,8.40421182,-0.763629893,-6.82889104,15.48556896
BBTS1 (18),Buff,6.446999593,1.483945517,0.959081268,18.27246812,9.970900482,19.0980138,8.421073548,10.89127243,6.848235569,8.737118716,-0.998568085,-6.403082934,14.64498834
BBTS1 (182),Buff,9.380613951,0.981102947,0.461359379,15.39449355,14.02026647,16.10049348,5.916063956,9.59154023,5.802635076,10.85449177,-2.624343511,-9.123774382,16.1523812
BBTS1 (184),Buff,5.435385367,1.761982312,0.83816652,15.52987116,14.38545501,16.24023245,5.422415696,13.10857948,8.303945065,7.939261165,-0.306012725,-7.413136042,16.8878883
BBTS1 (188),Buff,6.069443022,1.614128297,0.870132095,16.84318204,11.78130352,17.60962626,6.844383855,11.59382738,7.337184541,8.222634104,-0.598583416,-6.079603475,14.70895006
BBTS1 (190),Buff,5.493336414,1.542830242,1.041702407,17.46639826,11.08155015,18.25827618,7.402153841,11.88367207,7.442496668,8.527329495,-0.826014617,-7.457507607,16.23641853
BBTS1 (191),Buff,5.594170938,1.609689144,0.980710406,17.11943726,11.46548243,17.89677453,7.070935033,11.80858863,7.441929565,8.238285942,-0.61678367,-6.674530554,15.44333099
BBTS1 (193),Buff,4.986858304,1.72821915,1.062906392,16.71961013,12.3767039,17.48072022,6.478210705,13.04743242,8.207379441,7.770525887,-0.258326725,-7.614121759,17.01182925
BBTS1 (198),Buff,5.36046586,1.52858538,1.08418153,17.58501661,10.92403166,18.38148193,7.443568952,12.23980266,7.614721782,8.467766182,-0.81065473,-7.714424747,16.6322185
BBTS1 (2),Buff,5.805262757,1.584827566,1.139481664,18.80216681,9.598307915,19.64909894,8.573309051,12.81075365,7.977405018,8.518971025,-0.790360138,-8.354627904,17.52578198
BBTS1 (20),Buff,5.390433119,1.673238083,1.102299785,17.80268291,10.59241876,18.60799408,7.718532361,11.91423922,7.544516275,8.034194327,-0.450846989,-6.300322138,15.12592649
BBTS1 (21),Buff,5.75530776,1.647309402,1.057598338,18.06068632,10.27079718,18.87730846,8.046315623,11.60831694,7.370301533,8.250345918,-0.588305128,-6.298667884,14.97906222
BBTS1 (22),Buff,7.899997604,1.298122009,0.848425641,19.11074721,9.144957657,19.97035355,9.313456762,10.96783653,6.762248693,9.605196088,-1.641015986,-8.172941785,16.30360799
BBTS1 (221),Buff,6.223993033,1.555899355,0.748821908,15.80044326,13.62836337,16.52274098,5.795797958,12.2083151,7.631942121,8.339743095,-0.708982904,-7.23193653,16.17149322
BBTS1 (224),Buff,5.120121366,1.633262434,1.04312447,16.81031054,12.0706635,17.57496659,6.596665986,12.81240792,8.006134099,8.070311822,-0.502458679,-7.635237929,16.87603188
BBTS1 (225),Buff,6.642777812,1.439782944,0.728709637,16.13827839,12.96697021,16.87525734,6.156730594,11.85847464,7.362116667,8.844888365,-1.084396875,-7.730805228,16.4313684
BBTS1 (227),Buff,6.165326462,1.30427241,0.849918595,16.74840706,12.10368894,17.51069247,6.702910967,11.98254214,7.318683266,9.389246063,-1.510211617,-9.399186425,17.86846329
BBTS1 (229),Buff,5.858811733,1.400672621,0.924177015,17.01399805,11.66459312,17.78717792,6.96030144,11.9090852,7.345278394,8.985095307,-1.205574226,-8.409611266,17.04482302
BBTS1 (231),Buff,4.820427021,1.688196937,1.052554107,16.30893876,13.21261078,17.05164511,6.024889343,13.58032725,8.475745315,7.87320105,-0.341012654,-8.427182089,17.981307
BBTS1 (233),Buff,5.170151062,1.646234536,1.022513903,16.71608184,12.39197058,17.47711084,6.503781783,12.90943484,8.066337825,8.021067408,-0.46450629,-7.957609581,17.22829181
BBTS1 (25),Buff,4.717484866,1.773126755,1.225418433,17.43952725,11.22392754,18.23048391,7.106130074,13.25353481,8.357015038,7.724290894,-0.192699796,-7.363377843,16.88277343
BBTS1 (26),Buff,5.654253651,1.548693495,0.949647391,16.92859618,11.77815341,17.69812781,6.843200711,12.06989104,7.543731669,8.46159065,-0.786870119,-7.40152348,16.26702906
BBTS1 (27),Buff,6.042836474,1.460061794,1.003753184,18.05344359,10.2735379,18.86974942,8.114715416,11.27279389,7.032966254,8.780800449,-1.044646262,-7.165899834,15.59338466
BBTS1 (28),Buff,6.120993516,1.443426617,0.99668086,18.10522313,10.24765457,18.92384255,8.138252809,11.43320464,7.112685361,8.914637262,-1.133193909,-7.66909269,16.15470385
BBTS1 (29),Buff,6.604276189,1.219459003,0.922439237,18.12475683,10.22792105,18.94375937,8.247436205,11.05821773,6.750850046,9.847060927,-1.845245104,-9.299828603,17.26637993
BBTS1 (30),Buff,7.048198607,1.367161683,0.892651651,18.46715491,9.798937505,19.30033031,8.651071619,10.81523883,6.728212452,9.270746098,-1.392973473,-7.441919858,15.58884552
BBTS1 (31),Buff,7.627235273,1.334465624,0.838029571,18.65666523,9.551112921,19.4976891,8.929572506,10.46847388,6.528091496,9.49386742,-1.544017774,-7.233943734,15.20137598
BBTS1 (34),Buff,6.422295774,1.249590131,0.942243505,18.05735949,10.25252982,18.8732968,8.176318521,11.0316352,6.759664171,9.70801627,-1.741857795,-8.838066698,16.88647695
BBTS1 (35),Buff,5.808762351,1.579686067,1.038789805,17.99300514,10.30461682,18.80629892,8.037823918,11.31134063,7.156738851,8.455944561,-0.759340086,-6.389029323,14.89941531
BBTS1 (36),Buff,5.136484493,1.872879614,1.122606678,17.51663344,10.91024724,18.31012736,7.418592604,11.95890187,7.729362845,7.534518631,-0.011794951,-5.263213316,14.06271416
BBTS1 (37),Buff,6.034724168,1.500270267,1.00980307,18.10023595,10.18064092,18.91801505,8.162908918,11.24989119,7.061534384,8.717467905,-0.973362709,-6.799063408,15.24650316
BBTS1 (38),Buff,5.175564555,1.568886975,1.075546511,17.16698651,11.5585985,17.94614205,6.950817497,12.73942525,7.938975772,8.560122315,-0.818167705,-8.406484556,17.54091414
BBTS1 (42),Buff,10.74710598,0.871001124,0.645069872,19.54638812,8.776351967,20.42413789,10.25077397,9.231994674,5.528067018,11.71211111,-3.244000234,-11.38969819,17.56892549
BBTS1 (43),Buff,8.623036325,1.179945121,0.751400146,18.84100526,9.326254331,19.68969899,9.305936462,9.71844209,6.001737342,10.08464576,-2.018001266,-7.526352282,14.96467084
BBTS1 (44),Buff,7.59670689,1.396369286,0.849981581,18.75104654,9.454902001,19.59637168,8.998612513,10.60399535,6.642777486,9.278759759,-1.374751883,-6.87792936,14.9506528
BBTS1 (45),Buff,8.221708288,1.204845501,0.897456674,20.06236132,8.347431498,20.96130071,10.40114225,10.99688559,6.699771323,10.06425296,-1.988564836,-9.642258893,17.49541204
BBTS1 (46),Buff,8.486444264,1.301982988,0.806817813,19.34087847,8.989135736,20.21010753,9.618544308,10.80024034,6.678287433,9.731190988,-1.711020458,-8.270969144,16.30926824
BBTS1 (48),Buff,8.80797259,1.189960373,0.746924252,18.97397779,9.322884225,19.82822954,9.35245578,10.21040972,6.277970488,10.13471295,-2.034770217,-8.526580272,16.14499856
BBTS1 (5),Buff,6.92314101,1.418095516,1.085369035,20.1751745,8.186326811,21.07936252,10.33730577,11.71577868,7.227700293,9.084834495,-1.263568775,-8.165415636,16.71942555
BBTS1 (50),Buff,6.704500152,1.335288266,0.929668355,18.34870446,9.949642615,19.17748234,8.450058797,11.16702118,6.888014948,9.361547992,-1.476711555,-8.140286608,16.38885486
BBTS1 (52),Buff,5.909926631,1.455432504,1.075296924,18.44098893,9.949999998,19.27362085,8.283074119,12.3986509,7.648264378,8.839491744,-1.078664942,-8.619981879,17.48939547
BBTS1 (55),Buff,5.50471274,1.66386697,1.097750702,17.95698684,10.46732204,18.7694466,7.848610229,12.07084017,7.634881984,8.183961509,-0.537252477,-6.807087162,15.73985688
BBTS1 (56),Buff,7.359519146,1.379004594,0.954298555,19.52333228,8.795988794,20.39991046,9.608798451,11.67397489,7.194467,9.211139914,-1.355952863,-8.36571537,16.87097964
BBTS1 (57),Buff,5.388156935,1.426841887,1.079776981,17.56906611,11.11899343,18.36526512,7.363755776,12.6580133,7.77243215,8.956622401,-1.16454108,-9.36209756,18.22509085
BBTS1 (58),Buff,5.888904029,1.454970741,1.035749551,18.07620341,10.30293271,18.89330425,8.022056229,11.83600101,7.351271227,8.865781252,-1.088323237,-7.951679016,16.62934039
BBTS1 (59),Buff,5.15799509,1.676594609,1.038473069,16.84292875,11.9849307,17.60990292,6.635160106,12.7581498,8.016976713,8.048254677,-0.452303202,-7.407472266,16.65871756
BBTS1 (6),Buff,7.387297133,1.416679177,0.96913568,19.72381809,8.567915552,20.6093106,9.865499633,11.51597771,7.129066765,9.102725523,-1.268320626,-7.810559023,16.30292833
BBTS1 (61),Buff,6.365544939,1.23526766,0.991845895,18.42050601,9.924606229,19.25193909,8.375231962,11.89180164,7.223166623,9.813634083,-1.809507634,-10.09954614,18.34416953
BBTS1 (62),Buff,5.000469789,1.453717378,1.575157038,20.40301361,8.192937125,21.31687475,10.19706058,13.54584059,8.239902281,8.936753815,-1.156795365,-10.57423785,19.55504241
BBTS1 (63),Buff,6.05568224,1.334481147,1.092612287,18.8059484,9.670574292,19.65379275,8.588004683,12.84922898,7.798673326,9.361936264,-1.478719439,-10.48047457,19.1301263
BBTS1 (64),Buff,5.27253479,1.522745412,1.107315608,17.60377808,10.94079885,18.40090743,7.388465613,12.6277964,7.828261397,8.576674774,-0.871612049,-8.32410847,17.37616871
BBTS1 (70),Buff,4.704286556,1.902083334,1.241392087,17.53739409,11.08618513,18.33149747,7.226551931,13.1002399,8.37727408,7.461907796,0.056221304,-6.611896568,16.11790038
